Offset Values Considered Equivalent (within ~1 sec tolerance)

sub-98, ses-01 (Original= –31.125; Sanity= –31.125)
sub-142, ses-01 (–82.5; –82.5)
sub-152, ses-01 (–68.078125; –68.078125)
sub-260, ses-01 (–49.171875; –49.171875)
sub-263, ses-01 (–53.296875; –53.296875)
sub-263, ses-02 (–32.21875; –32.21875)
sub-263, ses-03 (–32.5; –32.5)
sub-298, ses-03 (–23.546875; –23.546875)
sub-325, ses-01 (118.734375; 118.734375)
sub-360, ses-03 (–20.953125; –20.953125)
sub-398, ses-02 (–73.765625; –73.765625)
sub-398, ses-03 (–155.796875; –155.796875)
sub-400, ses-01 (–125.078125; –125.078125)
sub-422, ses-01 (–40.171875; –40.171875)
sub-443, ses-01 (–47.59375; –47.609375)
sub-443, ses-02 (–84.640625; –84.640625)
sub-462, ses-03 (–110.078125; –110.078125)
sub-485, ses-01 (–69.359375; –69.359375)
sub-485, ses-02 (–52.859375; –52.859375)
sub-485, ses-03 (–177.671875; –177.671875)
sub-538, ses-02 (–45.359375; –45.359375)
sub-538, ses-03 (–338.984375; –338.96875)
sub-549, ses-01 (–9.828; -9.92)
sub-689, ses-02 (-288.203; -288.42)
sub-749, ses-03 (–169.640625; –169.640625)
sub-800, ses-01 (–30.5; –30.5)
sub-815, ses-01 (–100.515625; –100.515625)
sub-817, ses-01 (–155.015625; –155.015625)
sub-843, ses-01 (–14.78125; –14.78125)
sub-849, ses-01 (–47.65625; –47.65625)
sub-849, ses-02 (–67.640625; –67.640625)
sub-869, ses-01 (–69.421875; –69.421875)
sub-906, ses-01 (–171.109375; –171.109375)
sub-913, ses-01 (–47.0; –47.0)
sub-916, ses-01 (7.21875; 7.21875)
sub-958, ses-01 (–38.078125; –38.078125)
sub-958, ses-02 (–210.796875; –210.796875)
sub-958, ses-03 (–84.015625; –84.015625)
sub-959, ses-02 (–49.265625; –49.265625)
sub-959, ses-03 (–40.875; –40.890625)
sub-962, ses-01 (210.296875; 210.296875)
sub-971, ses-01 (–99.671875; –99.671875)
sub-971, ses-02 (–233.765625; –233.765625)
sub-971, ses-03 (–34.75; –34.75)
sub-3127, ses-01 (–26.21875; –26.21875)
sub-3127, ses-02 (–116.53125; –116.53125)
sub-3127, ses-03 (–19.609375; –19.609375)
sub-3422, ses-02 (–61.265625; –61.265625)
sub-3422, ses-03 (–142.8125; –142.796875)
sub-3906, ses-01 (–240.828125; –240.828125)
sub-3958, ses-01 (–54.71875; –54.71875)

51 forskellige optagelser med tydelige crosscorr resultater (T7-T8) + backed up af sanitycheck (C3-C4)
35 unikke subject, med # optagelser - HC: 11, AD: 23, DLB: 17

